Scheme name	Locus tag	Description
cgMLST V1 + HierCC V1	CD630_05390(cheA)	"histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
cgMLST V1 + HierCC V1	CD630_05400(cheW)	chemotaxis protein
cgMLST V1 + HierCC V1	CD630_05410(cheR)	methyltransferase
cgMLST V1 + HierCC V1	CD630_05420(cheB)	chemotaxis protein B
cgMLST V1 + HierCC V1	CD630_05430(-)	copper amine oxidase domain-containing protein
cgMLST V1 + HierCC V1	CD630_05440(ocd)	ornithine cyclodeaminase
cgMLST V1 + HierCC V1	CD630_05450(-)	lipoprotein
cgMLST V1 + HierCC V1	CD630_05460(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_05470(-)	penicillin-binding protein
cgMLST V1 + HierCC V1	CD630_05480(-)	blaR1 peptidase M56 family protein
cgMLST V1 + HierCC V1	CD630_05490(-)	exported protein
cgMLST V1 + HierCC V1	CD630_05500(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_05510(sleC)	peptidoglycan-binding protein
cgMLST V1 + HierCC V1	CD630_05520(prsW)	protease PrsW
cgMLST V1 + HierCC V1	CD630_05530(-)	methylase
cgMLST V1 + HierCC V1	CD630_05540(sip2)	signal peptidase I
cgMLST V1 + HierCC V1	CD630_05550(sip2)	signal peptidase I
cgMLST V1 + HierCC V1	CD630_05560(-)	endonuclease
cgMLST V1 + HierCC V1	CD630_05570(udk)	uridine kinase
cgMLST V1 + HierCC V1	CD630_05580(glsA)	glutaminase A
cgMLST V1 + HierCC V1	CD630_05590(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_05600(nfo)	endonuclease
cgMLST V1 + HierCC V1	CD630_05610(-)	aldo/keto reductase
cgMLST V1 + HierCC V1	CD630_05620(-)	endonuclease
cgMLST V1 + HierCC V1	CD630_05630(queG)	epoxyqueuosine reductase
cgMLST V1 + HierCC V1	CD630_05640(-)	ATP-dependent protease
cgMLST V1 + HierCC V1	CD630_05650(nth)	endonuclease III
cgMLST V1 + HierCC V1	CD630_05660(trmL)	tRNA (cytidine(34)-2'-O)-methyltransferase
cgMLST V1 + HierCC V1	CD630_05670(-)	6-phosphogluconate dehydratase
cgMLST V1 + HierCC V1	CD630_05690(bmpA)	BMP family ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_05710(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_05720(-)	ytxC-like family protein
cgMLST V1 + HierCC V1	CD630_05730(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_05740(thrS)	threonine--tRNA ligase
cgMLST V1 + HierCC V1	CD630_05760(-)	sensor histidine kinase
cgMLST V1 + HierCC V1	CD630_05770(-)	hydrolase
cgMLST V1 + HierCC V1	CD630_05780(-)	MFS transporter
cgMLST V1 + HierCC V1	CD630_05790(-)	TetR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_05800(gapN)	glyceraldehyde-3-phosphate dehydrogenase
cgMLST V1 + HierCC V1	CD630_05870(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_05880(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_05930(-)	Protein of unknown function (DUF3788)
cgMLST V1 + HierCC V1	CD630_05940(-)	phosphoadenosine phosphosulfate sulfurtransferase
cgMLST V1 + HierCC V1	CD630_05950(-)	nuclease
cgMLST V1 + HierCC V1	CD630_05960(-)	spore coat associated JA family protein
cgMLST V1 + HierCC V1	CD630_06090(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_06140(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_06150(-)	TetR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_06160(-)	MerR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_06170(-)	CAAX amino protease
cgMLST V1 + HierCC V1	CD630_06190(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_06200(-)	Protein of uncharacterised function (DUF2922)
cgMLST V1 + HierCC V1	CD630_06220(-)	Protein of uncharacterised function (DUF1659)
cgMLST V1 + HierCC V1	CD630_06240(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_06260(dnaB)	helicase DnaB
cgMLST V1 + HierCC V1	CD630_06270(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_06271(-)	ferredoxin
cgMLST V1 + HierCC V1	CD630_06280(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_06290(fnr)	Crp/Fnr family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_06310(-)	PadR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_06400(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_06410(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_06420(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_06580(cdu1)	"penicillinase R superfamily, beta lactamase repressor"
cgMLST V1 + HierCC V1	CD630_06641(cdd1)	pathogenicity locus family protein
cgMLST V1 + HierCC V1	CD630_06642(-)	CD06642
cgMLST V1 + HierCC V1	CD630_06650(cdd2)	ABC-2 transporter family protein
cgMLST V1 + HierCC V1	CD630_06660(cdd3)	multidrug ABC transporter permease
cgMLST V1 + HierCC V1	CD630_06670(cdd4)	ABC transporter family protein
cgMLST V1 + HierCC V1	CD630_06680(vicR)	DNA-binding response regulator
cgMLST V1 + HierCC V1	CD630_06690(-)	two-component sensor histidine kinase
cgMLST V1 + HierCC V1	CD630_06700(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_06710(-)	glyoxalase
cgMLST V1 + HierCC V1	CD630_06730(-)	mycolic acid cyclopropane synthetase
cgMLST V1 + HierCC V1	CD630_06750(-)	acetyltransferase
cgMLST V1 + HierCC V1	CD630_06760(rsiT)	"Anti Sigma factors, ECF family"
cgMLST V1 + HierCC V1	CD630_06770(csfT)	RNA polymerase sigma factor
cgMLST V1 + HierCC V1	CD630_06840(ftsH)	ATP-dependent zinc metalloprotease FtsH
cgMLST V1 + HierCC V1	CD630_06850(infC)	translation initiation factor IF-3
cgMLST V1 + HierCC V1	CD630_06860(rpmI)	50S ribosomal protein L35
cgMLST V1 + HierCC V1	CD630_06870(rplT)	50S ribosomal protein L20
cgMLST V1 + HierCC V1	CD630_06880(-)	winged helix-turn-helix DNA-binding family protein
cgMLST V1 + HierCC V1	CD630_06900(cpdB)	calcineurin-like phosphoesterase
cgMLST V1 + HierCC V1	CD630_06910(-)	short-chain dehydrogenase
cgMLST V1 + HierCC V1	CD630_06930(-)	MerR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_06940(-)	TetR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_06950(-)	m3 family oligoendopeptidase
cgMLST V1 + HierCC V1	CD630_06960(trkH)	Trk family potassium uptake protein
cgMLST V1 + HierCC V1	CD630_06970(trkA)	potassium transporter Trk
cgMLST V1 + HierCC V1	CD630_06980(spoU)	tRNA/rRNA methyltransferase SpoU
cgMLST V1 + HierCC V1	CD630_06990(pheS)	phenylalanine--tRNA ligase subunit alpha
cgMLST V1 + HierCC V1	CD630_07000(pheT)	phenylalanine--tRNA ligase subunit beta
cgMLST V1 + HierCC V1	CD630_07010(zapA)	cell division ZapA family protein
cgMLST V1 + HierCC V1	CD630_07020(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_07030(-)	peptidase U32
cgMLST V1 + HierCC V1	CD630_07040(-)	phosphohydrolase
cgMLST V1 + HierCC V1	CD630_07050(mutT)	DNA mismatch repair protein MutT
cgMLST V1 + HierCC V1	CD630_07060(-)	reductase
cgMLST V1 + HierCC V1	CD630_07080(pepD)	aminoacyl-histidine dipeptidase
cgMLST V1 + HierCC V1	CD630_07090(mutS2)	endonuclease MutS2
cgMLST V1 + HierCC V1	CD630_07100(-)	purine nucleoside phosphorylase
cgMLST V1 + HierCC V1	CD630_07110(argS)	arginine--tRNA ligase
cgMLST V1 + HierCC V1	CD630_07120(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_07121(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_07130(-)	B12-binding domain-containing radical SAM protein
cgMLST V1 + HierCC V1	CD630_07140(-)	tetratricopeptide repeat family protein
cgMLST V1 + HierCC V1	CD630_07150(ptb)	phosphate butyryltransferase
cgMLST V1 + HierCC V1	CD630_07160(cooS)	carbon-monoxide dehydrogenase catalytic subunit
cgMLST V1 + HierCC V1	CD630_07170(cooC)	chromosome partitioning protein ParA
cgMLST V1 + HierCC V1	CD630_07180(fhs)	formate--tetrahydrofolate ligase
cgMLST V1 + HierCC V1	CD630_07190(fchA)	methenyltetrahydrofolate cyclohydrolase
cgMLST V1 + HierCC V1	CD630_07200(folD)	"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase"
cgMLST V1 + HierCC V1	CD630_07210(-)	methylenetetrahydrofolate reductase
cgMLST V1 + HierCC V1	CD630_07220(metF)	"5,10-methylenetetrahydrofolate reductase"
cgMLST V1 + HierCC V1	CD630_07230(lpd)	dihydrolipoyl dehydrogenase
cgMLST V1 + HierCC V1	CD630_07240(cooC)	carbon monoxide dehydrogenase
cgMLST V1 + HierCC V1	CD630_07250(cdhD)	acetyl-CoA synthase subunit delta
cgMLST V1 + HierCC V1	CD630_07260(cdhE)	acetyl-CoA synthase subunit gamma
cgMLST V1 + HierCC V1	CD630_07270(acsE)	carbon monoxide dehydrogenase
cgMLST V1 + HierCC V1	CD630_07280(acsB)	acetyl-CoA decarbonylase
cgMLST V1 + HierCC V1	CD630_07290(gcvH)	glycine cleavage system protein H
cgMLST V1 + HierCC V1	CD630_07300(-)	2Fe-2S iron-sulfur cluster binding domain protein
cgMLST V1 + HierCC V1	CD630_07310(-)	radical SAM protein
cgMLST V1 + HierCC V1	CD630_07320(bioB)	radical SAM superfamily protein
cgMLST V1 + HierCC V1	CD630_07330(lplA)	biotin/lipoate A/B ligase
cgMLST V1 + HierCC V1	CD630_07340(-)	RNA-binding protein
cgMLST V1 + HierCC V1	CD630_07350(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_07360(-)	zinc transporter
cgMLST V1 + HierCC V1	CD630_07370(hisK)	histidinol-phosphatase
cgMLST V1 + HierCC V1	CD630_07390(-)	exported protein
cgMLST V1 + HierCC V1	CD630_07440(motA)	motility protein A
cgMLST V1 + HierCC V1	CD630_07450(motB)	chemotaxis protein MotB
cgMLST V1 + HierCC V1	CD630_07470(-)	ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_07490(uvrD)	putative ATP-dependent DNA helicase
cgMLST V1 + HierCC V1	CD630_07500(-)	amino acid ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_07510(-)	amino acid ABC transporter permease
cgMLST V1 + HierCC V1	CD630_07520(-)	peptide ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_07530(iscS1)	aminotransferase class-V family protein
cgMLST V1 + HierCC V1	CD630_07540(thiI)	tRNA sulfurtransferase ThiI
cgMLST V1 + HierCC V1	CD630_07550(-)	ferrous iron transporter A
cgMLST V1 + HierCC V1	CD630_07560(-)	nitroreductase
cgMLST V1 + HierCC V1	CD630_07580(pflA)	pyruvate formate-lyase 1-activating enzyme
cgMLST V1 + HierCC V1	CD630_07590(plfB)	formate acetyltransferase
cgMLST V1 + HierCC V1	CD630_07600(yrbG)	sodium:calcium antiporter
cgMLST V1 + HierCC V1	CD630_07610(deaD)	RNA helicase
cgMLST V1 + HierCC V1	CD630_07700(spoIIAA)	anti-sigma F factor antagonist
cgMLST V1 + HierCC V1	CD630_07710(spoIIAB)	anti-sigma F factor
cgMLST V1 + HierCC V1	CD630_07720(sigF)	RNA polymerase sigma-F factor
cgMLST V1 + HierCC V1	CD630_07730(spoVAC)	stage V sporulation protein AC
cgMLST V1 + HierCC V1	CD630_07740(spoVAD)	stage V sporulation protein AD
cgMLST V1 + HierCC V1	CD630_07750(spoVAE)	stage V sporulation protein AE
cgMLST V1 + HierCC V1	CD630_07760(lacI)	LacI family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_07770(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_07780(-)	putative membrane protein
cgMLST V1 + HierCC V1	CD630_07790(-)	amidohydrolase
cgMLST V1 + HierCC V1	CD630_07800(-)	DUF1177 domain-containing protein
cgMLST V1 + HierCC V1	CD630_07810(mrcA)	penicillin-binding transpeptidase
cgMLST V1 + HierCC V1	CD630_07820(-)	sporulation protein YunB
cgMLST V1 + HierCC V1	CD630_07830(spoIVB)	peptidase S55
cgMLST V1 + HierCC V1	CD630_07840(amiA)	N-acetylmuramoyl-L-alanine amidase
cgMLST V1 + HierCC V1	CD630_07850(-)	ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_07870(-)	metal-binding protein
cgMLST V1 + HierCC V1	CD630_07880(hflX)	GTPase HflX
cgMLST V1 + HierCC V1	CD630_07890(-)	HEAT repeats family protein
cgMLST V1 + HierCC V1	CD630_07900(-)	NUDIX hydrolase
cgMLST V1 + HierCC V1	CD630_07910(-)	YigZ family protein
cgMLST V1 + HierCC V1	CD630_07920(-)	sulfite exporter TauE/SafE family protein
cgMLST V1 + HierCC V1	CD630_07930(-)	permease
cgMLST V1 + HierCC V1	CD630_07940(nadE)	NAD(+) synthetase
cgMLST V1 + HierCC V1	CD630_07950(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_08000(crt1)	crotonase
cgMLST V1 + HierCC V1	CD630_08010(-)	citrate transporter family protein
cgMLST V1 + HierCC V1	CD630_08020(hadA)	CoA transferase
cgMLST V1 + HierCC V1	CD630_08030(bcd)	acyl-CoA dehydrogenase
cgMLST V1 + HierCC V1	CD630_08040(etfB)	electron transfer flavoprotein subunit beta
cgMLST V1 + HierCC V1	CD630_08050(etfA)	electron transfer flavoprotein subunit alpha
cgMLST V1 + HierCC V1	CD630_08060(-)	sigma-54-dependent Fis family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_08070(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_08090(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_08100(wrbA)	flavodoxin
cgMLST V1 + HierCC V1	CD630_08120(-)	universal stress protein UspA
cgMLST V1 + HierCC V1	CD630_08130(-)	PTS sugar transporter subunit IIBC
cgMLST V1 + HierCC V1	CD630_08140(pdhR)	GntR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_08150(-)	MFS transporter
cgMLST V1 + HierCC V1	CD630_08160(bglF)	PTS beta-glucoside transporter subunit EIIBCA
cgMLST V1 + HierCC V1	CD630_08180(bglA)	aryl-phospho-beta-D-glucosidase BglC
cgMLST V1 + HierCC V1	CD630_08190(licT)	PRD domain protein
cgMLST V1 + HierCC V1	CD630_08250(rbr)	rubrerythrin
cgMLST V1 + HierCC V1	CD630_08260(perR)	transcriptional repressor
cgMLST V1 + HierCC V1	CD630_08270(rbo)	superoxide reductase
cgMLST V1 + HierCC V1	CD630_08280(gltB)	glutamate synthase
cgMLST V1 + HierCC V1	CD630_08300(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_08310(deaD)	putative ATP-dependent RNA helicase
cgMLST V1 + HierCC V1	CD630_08320(nifV)	homocitrate synthase
cgMLST V1 + HierCC V1	CD630_08330(acnB)	aconitate hydratase
cgMLST V1 + HierCC V1	CD630_08340(icd)	isocitrate dehydrogenase
cgMLST V1 + HierCC V1	CD630_08350(-)	MarR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_08360(-)	acetyltransferase
cgMLST V1 + HierCC V1	CD630_08370(-)	nitroreductase
cgMLST V1 + HierCC V1	CD630_08380(-)	DNA-binding protein
cgMLST V1 + HierCC V1	CD630_08390(-)	CAAX amino protease
cgMLST V1 + HierCC V1	CD630_08400(-)	fumarylacetoacetate (FAA) hydrolase
cgMLST V1 + HierCC V1	CD630_08410(purH)	5-aminoimidazole-4-carboxamide ribonucleotide transformylase
cgMLST V1 + HierCC V1	CD630_08420(-)	phosphatase
cgMLST V1 + HierCC V1	CD630_08430(-)	glycosyl transferase group 1 family protein
cgMLST V1 + HierCC V1	CD630_08440(-)	cell wall binding repeat 2
cgMLST V1 + HierCC V1	CD630_08450(-)	nuclease
cgMLST V1 + HierCC V1	CD630_08460(-)	Conserved hypothetical protein
cgMLST V1 + HierCC V1	CD630_08470(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_08500(-)	iron-sulfur cluster biogenesis protein NfuA
cgMLST V1 + HierCC V1	CD630_08510(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_08520(-)	MarR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_08530(oppB)	binding--dependent transport system inner membrane component family protein
cgMLST V1 + HierCC V1	CD630_08540(oppC)	binding--dependent transport system inner membrane component family protein
cgMLST V1 + HierCC V1	CD630_08550(oppA)	peptide ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_08560(oppD)	peptide ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_08600(-)	mgsA AAA+ ATPase
cgMLST V1 + HierCC V1	CD630_08610(celA)	PTS sugar transporter subunit IIB
cgMLST V1 + HierCC V1	CD630_08620(celB)	PTS lactose/cellobiose IIC component family protein
cgMLST V1 + HierCC V1	CD630_08630(celC)	PTS lactose transporter subunit IIA
cgMLST V1 + HierCC V1	CD630_08640(glvA)	maltose-6'-phosphate glucosidase malH
cgMLST V1 + HierCC V1	CD630_08650(-)	macro domain protein
cgMLST V1 + HierCC V1	CD630_08670(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_08680(-)	"DNA-binding domain, excisionase family"
cgMLST V1 + HierCC V1	CD630_08690(modA)	molybdate ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_08700(modB)	molybdenum ABC transporter permease subunit
cgMLST V1 + HierCC V1	CD630_08710(modC)	ABC transporter
cgMLST V1 + HierCC V1	CD630_08720(maa)	maltose O-acetyltransferase
cgMLST V1 + HierCC V1	CD630_08730(-)	ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_08790(nnrE)	bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase
cgMLST V1 + HierCC V1	CD630_08800(-)	protease
cgMLST V1 + HierCC V1	CD630_08810(-)	SPFH domain / Band 7 family protein
cgMLST V1 + HierCC V1	CD630_08820(glgC)	glucose-1-phosphate adenylyltransferase
cgMLST V1 + HierCC V1	CD630_08830(glgD)	glucose-1-phosphate adenylyltransferase subunit GlgD
cgMLST V1 + HierCC V1	CD630_08840(glgA)	glycogen synthase
cgMLST V1 + HierCC V1	CD630_08850(glgP)	"phosphorylase, glycogen/starch/alpha-glucan family"
cgMLST V1 + HierCC V1	CD630_08860(-)	alpha-amylase
cgMLST V1 + HierCC V1	CD630_08880(speA)	aminotransferase class-V family protein
cgMLST V1 + HierCC V1	CD630_08890(speH)	S-adenosylmethionine decarboxylase proenzyme
cgMLST V1 + HierCC V1	CD630_08900(speE)	polyamine aminopropyltransferase
cgMLST V1 + HierCC V1	CD630_08910(speB)	agmatinase
cgMLST V1 + HierCC V1	CD630_08930(-)	iron hydrogenase
cgMLST V1 + HierCC V1	CD630_08940(-)	iron hydrogenase
cgMLST V1 + HierCC V1	CD630_08970(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_08980(-)	ATP-dependent Zn protease
cgMLST V1 + HierCC V1	CD630_08990(dinB)	DNA polymerase IV
cgMLST V1 + HierCC V1	CD630_09000(opuCA)	proline/glycine betaine ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_09010(opuCC)	"ABC-type transport system, glycine betaine/carnitine/choline permease"
cgMLST V1 + HierCC V1	CD630_09020(-)	cation diffusion facilitator family transporter
cgMLST V1 + HierCC V1	CD630_09810(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_09820(-)	prenyltransferase UbiA
cgMLST V1 + HierCC V1	CD630_09830(-)	haloacid dehalogenase
cgMLST V1 + HierCC V1	CD630_09840(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_09850(-)	MATE family efflux transporter
cgMLST V1 + HierCC V1	CD630_09860(rpsA)	30S ribosomal protein S1
cgMLST V1 + HierCC V1	CD630_09870(ycdX)	phosphatase
cgMLST V1 + HierCC V1	CD630_09880(-)	putative membrane protein
cgMLST V1 + HierCC V1	CD630_09890(leuA)	2-isopropylmalate synthase
cgMLST V1 + HierCC V1	CD630_09900(leuC)	3-isopropylmalate dehydratase large subunit
cgMLST V1 + HierCC V1	CD630_09910(leuD)	3-isopropylmalate dehydratase small subunit
cgMLST V1 + HierCC V1	CD630_09920(leuB)	3-isopropylmalate dehydrogenase
cgMLST V1 + HierCC V1	CD630_09930(-)	thioesterase
cgMLST V1 + HierCC V1	CD630_09940(-)	aminotransferase
cgMLST V1 + HierCC V1	CD630_09950(serA)	D-3-phosphoglycerate dehydrogenase
cgMLST V1 + HierCC V1	CD630_09960(-)	chromosome partitioning protein ParB
cgMLST V1 + HierCC V1	CD630_09990(-)	ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_10000(-)	ABC transporter permease
cgMLST V1 + HierCC V1	CD630_10010(-)	ABC transporter family protein
cgMLST V1 + HierCC V1	CD630_10020(ybaK)	aminoacyl-tRNA deacylase
cgMLST V1 + HierCC V1	CD630_10030(fumA)	fumarate hydratase
cgMLST V1 + HierCC V1	CD630_10040(fumB)	fumarate hydratase
cgMLST V1 + HierCC V1	CD630_10050(sfcA)	malate dehydrogenase
cgMLST V1 + HierCC V1	CD630_10070(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_10080(-)	DNA-binding protein
cgMLST V1 + HierCC V1	CD630_10090(-)	GntR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_10100(nagA)	N-acetylglucosamine-6-phosphate deacetylase
cgMLST V1 + HierCC V1	CD630_10110(nagB)	glucosamine-6-phosphate deaminase
cgMLST V1 + HierCC V1	CD630_10120(-)	putative membrane protein
cgMLST V1 + HierCC V1	CD630_10130(vicR)	DNA-binding response regulator
cgMLST V1 + HierCC V1	CD630_10140(-)	two-component sensor histidine kinase
cgMLST V1 + HierCC V1	CD630_10150(-)	diguanylate cyclase
cgMLST V1 + HierCC V1	CD630_10160(-)	MerR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_10170(-)	multidrug ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_10180(-)	multidrug ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_10190(-)	VTC domain protein
cgMLST V1 + HierCC V1	CD630_10200(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_10210(-)	cotH family protein
cgMLST V1 + HierCC V1	CD630_10220(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_10230(-)	Cro/Cl family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_10240(potA)	spermidine/putrescine ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_10250(potB)	spermidine/putrescine ABC transporter permease
cgMLST V1 + HierCC V1	CD630_10260(potC)	spermidine/putrescine ABC transporter permease
cgMLST V1 + HierCC V1	CD630_10270(potD)	spermidine/putrescine ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_10280(-)	diguanylate cyclase
cgMLST V1 + HierCC V1	CD630_10300(-)	glycosyl transferase family 2
cgMLST V1 + HierCC V1	CD630_10310(-)	cellulose synthase
cgMLST V1 + HierCC V1	CD630_10330(mnaA)	UDP-N-acetyl glucosamine 2-epimerase
cgMLST V1 + HierCC V1	CD630_10340(-)	mannosyl-glycoprotein endo-beta-N-acetylglucosamidase
cgMLST V1 + HierCC V1	CD630_10370(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_10380(uvrD)	helicase superfamily 1 UvrD-family
cgMLST V1 + HierCC V1	CD630_10390(-)	PD-(D/E)XK nuclease superfamily protein
cgMLST V1 + HierCC V1	CD630_10400(addB)	ATP-dependent helicase/deoxyribonuclease subunit B
cgMLST V1 + HierCC V1	CD630_10410(addA)	ATP-dependent helicase/nuclease subunit A
cgMLST V1 + HierCC V1	CD630_10420(sbcD)	exonuclease sbcCD subunit D
cgMLST V1 + HierCC V1	CD630_10430(sbcC)	nuclease SbcCD subunit C
cgMLST V1 + HierCC V1	CD630_10440(tlyC)	hemolysin
cgMLST V1 + HierCC V1	CD630_10450(-)	sporulation integral membrane protein YtvI
cgMLST V1 + HierCC V1	CD630_10460(pepT)	peptidase T
cgMLST V1 + HierCC V1	CD630_10470(-)	cell wall-binding repeat 2 family protein
cgMLST V1 + HierCC V1	CD630_10480(-)	phosphodiesterase
cgMLST V1 + HierCC V1	CD630_10490(ppnK)	NAD(+) kinase
cgMLST V1 + HierCC V1	CD630_10500(-)	ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_10510(-)	ABC transporter permease
cgMLST V1 + HierCC V1	CD630_10520(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_10530(-)	deacylase
cgMLST V1 + HierCC V1	CD630_10540(bcd2)	butyryl-CoA dehydrogenase
cgMLST V1 + HierCC V1	CD630_10550(etfB)	electron transfer flavoprotein subunit beta
cgMLST V1 + HierCC V1	CD630_10560(etfA)	electron transfer flavoprotein subunit alpha
cgMLST V1 + HierCC V1	CD630_10570(crt2)	crotonase
cgMLST V1 + HierCC V1	CD630_10580(hbd)	3-hydroxybutyryl-CoA dehydrogenase
cgMLST V1 + HierCC V1	CD630_10590(thlA1)	acetyl-CoA acetyltransferase
cgMLST V1 + HierCC V1	CD630_10600(rluD)	RNA pseudouridine synthase
cgMLST V1 + HierCC V1	CD630_10610(-)	37-kD nucleoid-associated bacterial family protein
cgMLST V1 + HierCC V1	CD630_10620(acpP)	acyl carrier protein
cgMLST V1 + HierCC V1	CD630_10630(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_10631(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_10633(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_10640(ccpA)	LacI family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_10650(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_10660(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_10670(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_10680(spoVB)	polysaccharide biosynthesis protein
cgMLST V1 + HierCC V1	CD630_10690(-)	phosphatase
cgMLST V1 + HierCC V1	CD630_10700(-)	"transcriptional regulator, GntR family"
cgMLST V1 + HierCC V1	CD630_10710(-)	uPF0291 protein CLOBAR_00783
cgMLST V1 + HierCC V1	CD630_10720(-)	aminopeptidase
cgMLST V1 + HierCC V1	CD630_10740(manX)	PTS mannose transporter subunit IIC
cgMLST V1 + HierCC V1	CD630_10750(-)	"membrane complex biogenesis protein, BtpA family"
cgMLST V1 + HierCC V1	CD630_10760(gfrB)	PTS mannose transporter subunit IIA
cgMLST V1 + HierCC V1	CD630_10770(gfrC)	PTS sugar transporter
cgMLST V1 + HierCC V1	CD630_10780(gfrD)	PTS mannose transporter subunit IID
cgMLST V1 + HierCC V1	CD630_10790(-)	LysR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_10800(-)	lipoprotein
cgMLST V1 + HierCC V1	CD630_10810(moeA)	molybdopterin molybdenumtransferase MoeA
cgMLST V1 + HierCC V1	CD630_10820(mobB)	molybdopterin-guanine dinucleotide biosynthesis protein MobB
cgMLST V1 + HierCC V1	CD630_10840(-)	thiamine ABC transporter permease
cgMLST V1 + HierCC V1	CD630_10850(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_10860(-)	peptidase
cgMLST V1 + HierCC V1	CD630_10870(zupT)	zinc transporter ZupT
cgMLST V1 + HierCC V1	CD630_10890(rgbR)	DNA-binding response regulator
